id	label	prop	defaultEnabled	defaultValue	risk	owner	ownerReason	explainTitle	explainReason	confidence	values
pm_bg_dexopt	跳过后台 dexopt	pm.dexopt.bg-dexopt	true	skip	safe	pm_bg_dexopt	owner	跳过后台 dexopt	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.bg-dexopt。可选值：跳过后台编译（skip）、画像优化（speed-profile）、仅校验（verify）。默认值：跳过后台编译（skip）。	medium	skip|speed-profile|verify
pm_downgrade_days	闲置降级阈值	pm.dexopt.downgrade_after_inactive_days	true	9999	safe	pm_downgrade_days	owner	闲置降级阈值	作用：设置应用闲置多少天后允许系统降低其编译优化等级。可选值：15、90、365、9999，数值越大越不容易降级。场景：推荐 9999，用于避免系统频繁回收或降级编译产物；存储空间紧张且愿意牺牲低频应用性能时可选择较小天数。	medium	15|90|365|9999
mini_debug	关闭 dex2oat 调试符号	dalvik.vm.dex2oat-minidebuginfo	true	false	safe	mini_debug	owner	关闭 dex2oat 调试符号	作用：控制 dex2oat 是否生成 mini debug info。可选值：false 表示不生成，减少编译产物体积；true 表示保留调试信息，便于底层诊断。场景：普通用户推荐 false；只有在分析 ART 崩溃、native 堆栈或开发调试时才考虑 true。	medium	false|true
mini_debug_vm	关闭 VM 调试符号	dalvik.vm.minidebuginfo	true	false	safe	mini_debug_vm	owner	关闭 VM 调试符号	作用：控制 Dalvik/ART VM 层面的 mini debug info。可选值：false 关闭，true 开启。场景：日常使用推荐 false，以减少产物和日志负担；开发者定位运行时异常时可临时开启。	medium	false|true
oplus_bgdex2oat	配置项：persist.sys.oplus.bgdex2oat_enabled	persist.sys.oplus.bgdex2oat_enabled	true	false	safe	oplus_bgdex2oat	owner	配置项：persist.sys.oplus.bgdex2oat_enabled	作用：调整ColorOS / OPlus 私有优化中的 persist.sys.oplus.bgdex2oat_enabled。可选值：关闭（false）、开启（true）。默认值：关闭（false）。	medium	false|true
compile_cache_miss	配置项：persist.sys.feature.compile.re.cache.miss	persist.sys.feature.compile.re.cache.miss	true	0	safe	compile_cache_miss	owner	配置项：persist.sys.feature.compile.re.cache.miss	作用：调整ColorOS / OPlus 私有优化中的 persist.sys.feature.compile.re.cache.miss。可选值：关闭 / 0（0）、开启 / 1（1）。默认值：关闭 / 0（0）。	medium	0|1
compile_cache_fmap	配置项：persist.sys.feature.compile.re.fmap.size	persist.sys.feature.compile.re.fmap.size	true	0	safe	compile_cache_fmap	owner	配置项：persist.sys.feature.compile.re.fmap.size	作用：调整ColorOS / OPlus 私有优化中的 persist.sys.feature.compile.re.fmap.size。可选值：关闭 / 0（0）、开启 / 1（1）。默认值：关闭 / 0（0）。	medium	0|1
startup_cache	禁用启动镜像缓存	persist.device_config.runtime_native.use_app_image_startup_cache	true	false	safe	startup_cache	owner	禁用启动镜像缓存	作用：调整runtime_native 运行时配置中的 persist.device_config.runtime_native.use_app_image_startup_cache。可选值：关闭（false）、开启（true）。默认值：关闭（false）。	medium	false|true
iorap_readahead	禁用 iorap 预读	persist.device_config.runtime_native_boot.iorap_readahead_enable	true	false	safe	iorap_readahead	owner	禁用 iorap 预读	作用：控制 iorap readahead 预读机制。可选值：false 禁用；true 启用。场景：Android 12 以后 iorap 在不同 ROM 上差异较大，推荐 false 以减少启动轨迹学习和预读负担；如果当前系统仍依赖 iorap 优化冷启动，可测试 true。	medium	false|true
iorap_perfetto	禁用 iorap 追踪	persist.device_config.runtime_native_boot.iorap_perfetto_enable	true	false	safe	iorap_perfetto	owner	禁用 iorap 追踪	作用：控制 iorap perfetto trace 采集。可选值：false 禁用追踪；true 启用追踪。场景：推荐 false，避免为启动预测持续采样；只有在调试启动预读行为或厂商 ROM 明确依赖该链路时才开启。	medium	false|true
opex_merge	配置项：oplus.opex.merge	oplus.opex.merge	true	false	safe	opex_merge	owner	配置项：oplus.opex.merge	作用：控制 OPlus opex merge 私有触发项。可选值：false 关闭；true 启用。场景：该项属于厂商私有行为，跨版本含义可能变化，推荐 false；仅在确认 ROM 需要 opex merge 维护时开启。	medium	false|true
opex_modulemerge	ColorOS 模块合并开关	oplus.opex.modulemerge	true	false	safe	opex_modulemerge	owner	ColorOS 模块合并开关	作用：控制 OPlus opex modulemerge 私有触发项。可选值：false 关闭；true 启用。场景：推荐 false，减少无法预期的厂商后台维护任务；如果系统模块更新后出现厂商组件优化异常，可临时测试 true。	medium	false|true
